Experimenter,PID,Interface,Rank Placement of Create and Marketplace Button Based on Where Expected,Often Intend to Click Certain Button and Get Unexpected Results,Rank Use on Instagram in Terms of Frequency - Explore Page,Rank Use on Instagram in Terms of Frequency - Feed,Rank Use on Instagram in Terms of Frequency - Marketplace,Rank Use on Instagram in Terms of Frequency - Messaging,Rank Use on Instagram in Terms of Frequency - Create content (post images/stories/reels),Rank Use on Instagram in Terms of Frequency - Stories,Intentionally Used the Instagram Create Button Before,Intentionally Used the Instagram Marketplace Button Before,Rank Likelihood of Purchasing an Item from Instagram marketplace,Hours Spent on Instagram Daily,Age,Gender
Team,1,2,2,No,2,1,6,3,5,4,Yes,No,0,1-3 hrs,21,Male
Team,2,2,3,Yes,4,1,6,5,3,2,Yes,No,0,3-5 hrs,22,Female
Team,3,2,1,Yes,5,1,6,2,4,3,Yes,No,1,0-1 hr,22,Male
Team,4,2,2,No,4,5,6,2,3,1,No,No,0,0-1 hr,21,Male
Team,5,2,1,No,1,2,3,5,6,4,No,No,0,0-1 hr,21,Male
Team,6,2,4,Yes,5,1,6,4,2,3,Yes,No,0,0-1 hr,20,Female
Team,7,2,2,No,2,1,6,4,5,3,Yes,Yes,1,0-1 hr,20,Male
Team,8,2,2,No,1,2,6,4,5,3,Yes,No,0,0-1 hr,20,Male
Vrushali,9,2,3,No,5,2,6,4,3,1,Yes,No,0,0-1 hr,22,Female
Vrushali,10,2,3,No,4,3,5,1,6,2,No,No,0,0-1 hr,21,Female
Vrushali,11,2,3,No,3,1,6,2,5,4,Yes,No,1,1-3 hrs,20,Male
Grace,12,2,4,No,2,1,6,3,5,4,Yes,Yes,0,1-3 hrs,22,Female
Grace,13,2,3,Yes,3,1,6,2,5,4,No,No,1,0-1 hr,19,Female
Grace,14,2,3,No,1,3,5,4,6,2,No,No,1,5+ hrs,19,Female
Alice,15,2,1,No,5,1,6,3,4,2,Yes,No,0,0-1 hr,20,Female
Alice,16,2,4,No,1,2,5,3,6,4,No,No,0,0-1 hr,20,Female
Alice,17,2,2,No,4,1,6,2,3,5,Yes,Yes,0,0-1 hr,20,Female
Tania,18,2,3,Yes,1,2,6,3,5,4,No,No,1,0-1 hr,19,Female
Tania,19,2,3,No,5,1,6,3,4,2,Yes,No,0,0-1 hr,20,Male
Tania,20,2,2,No,4,3,5,1,6,2,Yes,Yes,2,1-3 hrs,19,Male
Team,21,1,3,No,1,3,6,4,5,2,Yes,No,0,1-3 hrs,22,Female
Team,22,1,4,Yes,5,2,6,3,4,1,Yes,No,2,0-1 hr,21,Female
Team,23,1,3,No,1,3,5,4,6,2,No,No,1,1-3 hrs,19,Male
Team,24,1,3,Yes,2,1,6,5,3,4,Yes,No,0,0-1 hr,22,Male
Team,25,1,3,No,1,2,4,5,6,3,No,No,0,0-1 hr,21,Male
Team,26,1,2,Yes,5,1,6,2,3,4,Yes,No,0,0-1 hr,19,Male
Team,27,1,4,No,4,1,5,2,6,3,No,No,1,0-1 hr,22,Male
Team,28,1,1,No,5,3,4,1,6,2,Yes,Yes,0,0-1 hr,21,Male
Vrushali,29,1,3,No,3,2,6,4,5,1,Yes,No,0,0-1 hr,22,Male
Vrushali,30,1,4,No,3,2,6,4,5,1,Yes,No,0,0-1 hr,20,Male
Vrushali,31,1,1,Yes,2,1,6,4,5,3,Yes,No,0,0-1 hr,20,Female
Grace,32,1,3,Yes,2,1,6,3,5,4,No,No,0,0-1 hr,20,Male
Grace,33,1,3,No,1,2,6,4,5,3,No,No,0,0-1 hr,22,Female
Grace,34,1,3,Yes,1,2,6,3,5,4,Yes,No,0,1-3 hrs,20,Female
Alice,35,1,2,No,3,2,6,1,4,5,Yes,No,0,3-5 hrs,19,Female
Alice,36,1,2,Yes,1,2,6,3,5,4,Yes,No,0,0-1 hr,19,Female
Alice,37,1,3,No,5,4,6,3,1,2,Yes,Yes,1,1-3 hrs,21,Female
Tania,38,1,1,No,4,5,6,1,3,2,Yes,No,0,1-3 hrs,20,Male
Tania,39,1,3,Yes,1,5,2,3,4,6,Yes,Yes,2,1-3 hrs,19,Non-binary / third gender
Tania,40,1,3,No,2,4,6,3,5,1,Yes,No,0,0-1 hr,21,Female
